날짜,발전기명,일일발전량(kWh)
2021-10-31,광양항어울림태양광,2586.24
2021-11-01,광양항어울림태양광,2281.92
2021-11-02,광양항어울림태양광,2523.36
2021-11-03,광양항어울림태양광,2525.76
2021-11-04,광양항어울림태양광,2443.68
2021-11-05,광양항어울림태양광,1805.28
2021-11-06,광양항어울림태양광,2213.28
2021-11-07,광양항어울림태양광,2409.12
2021-11-08,광양항어울림태양광,553.44
2021-11-09,광양항어울림태양광,1538.88
2021-11-10,광양항어울림태양광,1459.2
2021-11-11,광양항어울림태양광,1475.52
2021-11-12,광양항어울림태양광,1621.44
2021-11-13,광양항어울림태양광,2177.28
2021-11-14,광양항어울림태양광,1905.6
2021-11-15,광양항어울림태양광,2196.48
2021-11-16,광양항어울림태양광,1804.32
2021-11-17,광양항어울림태양광,2262.72
2021-11-18,광양항어울림태양광,2190.72
2021-11-19,광양항어울림태양광,2273.76
2021-11-20,광양항어울림태양광,2042.4
2021-11-21,광양항어울림태양광,926.88
2021-11-22,광양항어울림태양광,1601.28
2021-11-23,광양항어울림태양광,1582.56
2021-11-24,광양항어울림태양광,1755.36
2021-11-25,광양항어울림태양광,1893.12
2021-11-26,광양항어울림태양광,2299.68
2021-11-27,광양항어울림태양광,2240.64
2021-11-28,광양항어울림태양광,2206.56
2021-11-29,광양항어울림태양광,2059.2
2021-11-30,광양항어울림태양광,373.92
2021-12-01,광양항어울림태양광,1462.08
2021-12-02,광양항어울림태양광,2132.64
2021-12-03,광양항어울림태양광,1512
2021-12-04,광양항어울림태양광,1289.76
2021-12-05,광양항어울림태양광,1537.92
2021-12-06,광양항어울림태양광,1988.64
2021-12-07,광양항어울림태양광,2063.52
2021-12-08,광양항어울림태양광,2129.76
2021-12-09,광양항어울림태양광,1226.88
2021-12-10,광양항어울림태양광,1372.32
2021-12-11,광양항어울림태양광,1853.76
2021-12-12,광양항어울림태양광,1128
2021-12-13,광양항어울림태양광,2282.88
2021-12-14,광양항어울림태양광,1863.84
2021-12-15,광양항어울림태양광,1276.8
2021-12-16,광양항어울림태양광,626.88
2021-12-17,광양항어울림태양광,1599.84
2021-12-18,광양항어울림태양광,2273.28
2021-12-19,광양항어울림태양광,2006.4
2021-12-20,광양항어울림태양광,1820.64
