,지역명,지역번호
11,금사리,1319787
12,금암리,1318815
13,금천리,1618479
14,금호리,1319822
15,기룡리,3354195
16,나성동,2041551
17,남곡리,2041758
18,남리,3354154
19,내판리,3354170
20,노곡리,1320826
21,다방리,3354210
22,다솜리,3354177
23,다정동,2041552
24,달전리,2041738
25,달전리,1618643
26,대곡리,3354219
27,대교리,2041547
28,대박리,2041768
29,대평동,1316537
30,도계리,1618485
31,도남리,2041581
32,도담동,3354147
33,도암리,2041728
34,동교리,3354201
35,두만리,1315981
36,등곡리,2041779
37,명리,3354153
38,명학리,3354172
39,문곡리,3354183
40,문주리,3354171
41,미곡리,1321424
42,박산리,2041785
43,반곡동,2041772
44,발산리,2041746
45,번암리,3354158
46,보덕리,3354214
47,보람동,3354143
48,보통리,3354163
49,봉대리,3354211
50,봉산리,3354160
51,봉안리,2041549
52,봉암리,3354199
53,봉암리,2041592
54,부강리,3354179
55,부강면,1318147
56,부동리,3354198
57,부용리,2041776
58,서창리,3354161
59,세종리,3354165
60,세종시,2330368
61,송성리,1319260
62,신방리,3354207
63,신안리,3354159
64,신흥리,3354156
65,아름동,3354146
66,어진동,2041771
67,연기면,1315235
68,연동면,2330452
69,연서면,2330451
70,용포리,2041744
71,원리,3354148
72,원성리,3354203
73,월하리,3354190
74,은용리,2041561
75,읍내리,3354200
76,응암리,3354173
77,장군면,2330457
78,장재리,1618477
79,전동면,2330449
80,전의면,223168
81,정리,3354152
82,조치원읍,223150
83,종촌동,3354144
84,죽림리,3354157
85,집현리,2041774
86,청라리,3354194
87,청람리,3354216
88,청송리,3354212
89,축산리,2041726
90,침산리,3354155
91,평리,3354150
92,하봉리,2039885
93,한별리,3354167
94,한솔동,2330455
95,합강리,3354176
96,해밀리,3354169
97,행산리,3354180
98,호탄리,2041759
99,황용리,2041766
0,강동동,3430412
1,개곡리,3354119
2,고사동,1319973
3,교동,2331799
4,교동리,1639524
5,굴화리,1319720
6,남구,2330446
7,남목1동,34304223
8,남목2동,23317873
9,남목3동,34304213
10,남외동,226450
11,농소1동,34304113
12,농소2동,34304103
13,농소3동,34304133
14,다운동,2331802
15,달동,2331794
16,당월리,1640290
17,대송동,1640299
18,대정리,3354092
19,대현동,3430424
20,덕신리,1640289
21,동구,226448
22,동동,3354071
23,동부동,2331786
24,매암동,1319108
25,명촌동,3354084
26,무거동,2331792
27,미포동,1319346
28,반구1동,34304193
29,반구2동,23318073
30,반구동,2331808
31,방도리,1318458
32,방어동,2331788
33,범서읍,2331777
34,병영1동,34304153
35,병영2동,34304143
36,복산2동,23318053
37,복산동,2331806
38,부곡동,3354075
39,북구,226439
40,북정동,2331804
41,산암리,3354091
42,삼남면,2331772
43,삼산동,2331793
44,삼호동,1639579
45,상개동,1317714
46,상남리,1640286
47,서동,3354072
48,서부동,1639483
49,선암동,2331789
50,성남동,3354068
51,성안동,3354069
52,성암동,3354076
53,수암동,2331790
54,신정1동,34304233
55,신정2동,23317983
56,신정3동,23317973
57,신정4동,23317963
58,신정동,1673850
59,신천동,3354080
60,야음동,2331791
61,야음장생포동,3430425
62,약사동,2331800
63,양정동,1315410
64,언양읍,2331778
65,여천동,3354074
66,연암동,3354086
67,염포동,2331780
68,옥교동,3354067
69,옥동,1639583
70,온산읍,2331779
71,온양읍,226443
72,용암리,1640288
73,용연동,3354077
74,용잠동,226449
75,우정동,2331803
76,울산광역시,226451
77,울주군,2330447
78,원산리,1316689
79,일산동,1320484
80,장생포동,1315382
81,전하1동,34304263
82,전하2동,23317853
83,전하동,1321359
84,중구,2330445
85,중앙동,3430420
86,진장동,3354085
87,창평동,2331784
88,처용리,1320926
89,청량읍,2331776
90,태화동,226446
91,학남리,3354094
92,학산동,3354066
93,학성동,2331809
94,호계동,226442
95,화봉동,3354087
96,화산리,1673852
97,화정동,1320632
98,황성동,1316930
99,효문동,1639479
0,가정동,1830066
1,가좌동,1830067
2,간석1동,34301133
3,간석3동,23319503
4,간석4동,23319493
5,간석동,2331952
6,갈산동,1830071
7,강화군,224031
8,검단동,3429959
9,검암경서동,3429998
10,계산동,1319565
11,계양2동,34300213
12,계양3동,34298583
13,계양구,1830087
14,고잔동,2331938
15,관교동,2331971
16,구산동,3353990
17,구월1동,34301203
18,구월2동,23319553
19,구월동,2331956
20,남동구,2330425
21,남촌동,2331941
22,논현1동,34301403
23,논현2동,23319393
24,논현고잔동,3430146
25,논현동,2331940
26,도림동,1647280
27,도원동,2332003
28,도화동,2331980
29,동구,2330423
30,동춘동,2331961
31,만석동,2331996
32,만수6동,23319433
33,만수동,2331948
34,문학동,1319222
35,미추홀구,224030
36,방축동,2331915
37,병방동,1830212
38,부개3동,23319263
39,부개동,2331928
40,부평1동,34300833
41,부평구,2330422
42,부평동,1830219
43,북성동1가,23320003
44,산곡2동,23319323
45,산곡3동,23319313
46,산곡동,1830231
47,삼산1동,34300503
48,삼산2동,23319223
49,삼산동,1830233
50,서구,2330426
51,서운동,2331917
52,서창동,1316457
53,석남동,2331909
54,선학동,2331966
55,송도1동,34298703
56,송도2동,34298683
57,송도동,2331957
58,송림동,224029
59,송현동,2331993
60,수산동,1316027
61,숭의동,2331970
62,신현동,2331899
63,신현원창동,3430054
64,신흥동3가,33539753
65,십정2동,23319233
66,십정동,2331924
67,연수구,2330427
68,연수동,2331965
69,영종1동,35581563
70,영종동,3429864
71,옥련동,2331967
72,용종동,1830344
73,용현5동,23319823
74,용현동,2331969
75,원창동,1830270
76,인천광역시,224032
77,인현동,3353980
78,일신동,2331925
79,작전1동,34300393
80,작전2동,23319183
81,작전동,1830374
82,작전서운동,3430040
83,장수동,2331942
84,장수서창동,3430123
85,주안동,2331979
86,중구,2330424
87,청라1동,34298613
88,청라2동,34298633
89,청라동,3557894
90,청천2동,23319293
91,청천동,1321463
92,청학동,2331962
93,학익1동,34301303
94,학익동,1320948
95,항동7가,16472753
96,화수동,2331995
97,효성1동,34300353
98,효성2동,23319213
99,효성동,1830455
0,강진군,224262
1,고흥군,224342
2,곡성군,224267
3,광양시,224255
